Sample Name	Protocol REF	Parameter Value[Processed Tissue Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Extraction Method]	Term Source REF	Term Accession Number	Extract Name	Parameter Value[QA Instrument]	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Strategy]	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Raw Data File	Protocol REF	Parameter Value[Processed Data Files]	Parameter Value[Supplemental Materials]
Mmus_C57-6J_GST_GC_Rep1_M33	Nucleic Acid Extraction	33.9	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_GC_M33_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	9.8	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N7_TAGCTT_L008_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
Mmus_C57-6J_GST_GC_Rep2_M34	Nucleic Acid Extraction	28.7	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_GC_M34_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	9.8	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N8_CTTGTA_L008_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
Mmus_C57-6J_GST_GC_Rep3_M35	Nucleic Acid Extraction	29	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_GC_M35_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	9.8	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N9_CGATGT_L007_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
Mmus_C57-6J_GST_GC_Rep4_M36	Nucleic Acid Extraction	33	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_GC_M36_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	9.5	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N10_TGACCA_L007_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
Mmus_C57-6J_GST_GC_Rep5_M37	Nucleic Acid Extraction	32.6	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_GC_M37_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	9.6	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N11_ACAGTG_L007_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
Mmus_C57-6J_GST_GC_Rep6_M38	Nucleic Acid Extraction	27.2	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_GC_M38_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	9.6	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N12_GCCAAT_L007_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
Mmus_C57-6J_GST_FLT_Rep1_M23	Nucleic Acid Extraction	26.5	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_FLT_M23_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	10	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N1_CGATGT_L008_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
Mmus_C57-6J_GST_FLT_Rep2_M24	Nucleic Acid Extraction	30	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_FLT_M24_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	9.7	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N2_TGACCA_L008_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
Mmus_C57-6J_GST_FLT_Rep3_M25	Nucleic Acid Extraction	30.5	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_FLT_M25_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	9.9	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N3_ACAGTG_L008_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
Mmus_C57-6J_GST_FLT_Rep4_M26	Nucleic Acid Extraction	31.6	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	trizol	MESH	http://purl.bioontology.org/ontology/MESH/C411644	RR1_FLT_M26_GST_RNA	Agilent 2100 Bioanalyzer	Agilent RNA 6000 Pico/Nano Kit	9.5	RNA Integrity Number	OSD	https://osdr.nasa.gov/	Library Construction	Bisulfite-Seq	PCR	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Bisulfite-Seq	GLDS-101_wtbs_N4_GCCAAT_L008_R1_001.fastq.gz	Sequence Analysis Data Transformation	GLDS-101_wtbs_GST-Basic_Analysis.tar.gz, GLDS-101_wtbs_GST-Advanced_Analysis.tar.gz	GLDS-101_wtbs_Q160526C_Service_Report.pdf
